ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Food type,Address
211,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,59,"Biryani,Chinese,North Indian,South Indian",5Th Block
221,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,56,"Mughlai,Lucknowi",5Th Block
246,Jogupalya,Bangalore,Kim Lee,650,4.4,100,50,Chinese,Double Road
248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,57,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road
249,Indiranagar,Bangalore,Nh8,350,4,50,63,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road
254,Indiranagar,Bangalore,Treat,800,4.5,100,56,"Mughlai,North Indian",100 Feet Road
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,53,"Mexican,Beverages,Salads",Double Road
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,57,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block
267,Domlur,Bangalore,Tea Brew,350,4.1,100,57,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road
308,Koramangala,Bangalore,Bangaliana,300,4,500,57,Bengali,7Th Block
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,56,"Chinese,Thai,Nepalese",5Th Block
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,55,"North Indian,Chinese",Cooke Town
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,54,"Mughlai,North Indian,Biryani",Mm Road
464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,48,"American,Continental",Ulsoor Lake
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,59,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,52,"Mughlai,North Indian",7Th Block
608,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,55,"Kerala,Seafood",Domlur Layout
621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,55,"Bengali,Fast Food,Chinese",Domlur
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,48,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,90,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate
1304,Indiranagar,Bangalore,Esplanade,1200,4.3,100,54,"Mughlai,Bengali",I Indirangar
1457,Banashankari,Bangalore,Hotel New Karavali,250,3.8,100,53,"North Indian,Chinese,South Indian",Bsk 1St Stage
1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,49,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar
